PK,DESFASE,NORTE,ESTE,ELEVACION,DESCRIPCION
86200,5.65,988925.3631,1108276.382,246.978,PD22
86210,5.65,988931.785,1108284.048,247.125,PD22
86220,5.65,988938.2068,1108291.713,247.243,PD22
86230,5.65,988944.6287,1108299.379,247.33,PD22
86240,5.65,988951.0505,1108307.044,247.387,PD22
86250,5.65,988957.4724,1108314.71,247.42,PD22
86260,5.65,988963.8942,1108322.375,247.451,PD22
86270,5.65,988970.3161,1108330.041,247.482,PD22
86280,5.65,988976.7379,1108337.706,247.513,PD22
86290,5.65,988983.1598,1108345.372,247.544,PD22
86300,5.65,988989.5816,1108353.037,247.576,PD22
86310,5.65,988996.0035,1108360.703,247.607,PD22
86320,8.067,989000.5722,1108369.921,247.387,PD22
86330,7.909,989007.1157,1108377.484,247.501,PD22
86340,7.687,989013.7074,1108385.008,247.564,PD22
86350,7.557,989020.2288,1108392.59,247.593,PD22
86350,7.557,989020.2288,1108392.59,247.593,PD22
86360,7.404,989026.7682,1108400.157,247.602,PD22
86370,7.251,989033.307,1108407.724,247.646,PD22
86380,7.061,989039.8752,1108415.267,247.678,PD22
86390,6.928,989046.3986,1108422.848,247.712,PD22
86400,6.781,989052.9331,1108430.419,247.749,PD22
86410,6.639,989059.4643,1108437.993,247.79,PD22
86420,6.445,989066.0347,1108445.534,247.829,PD22
86430,6.338,989072.5386,1108453.13,247.854,PD22
86430,6.338,989072.5386,1108453.13,247.854,PD22
86440,6.198,989079.0678,1108460.706,247.903,PD22
86450,6.009,989085.6344,1108468.25,248.022,PD22
86460,5.826,989092.1961,1108475.799,248.115,PD22
86470,5.714,989098.704,1108483.392,248.205,PD22
86480,5.69,989105.1444,1108491.042,248.31,PD22
86490,5.679,989111.5748,1108498.7,248.404,PD22
86500,5.729,989117.9579,1108506.398,248.502,PD22
86510,5.672,989124.424,1108514.027,248.604,PD22
86520,5.664,989130.8516,1108521.687,248.707,PD22
86530,5.715,989137.2343,1108529.386,248.8,PD22
86540,5.687,989143.6777,1108537.033,248.898,PD22
86550,5.68,989150.105,1108544.694,248.999,PD22
86560,5.669,989156.5354,1108552.352,249.101,PD22
86570,5.678,989162.9498,1108560.024,249.2,PD22
86570,5.678,989162.9498,1108560.024,249.2,PD22
86580,5.632,989169.4074,1108567.66,249.282,PD22
86590,5.686,989175.7877,1108575.36,249.387,PD22
86600,5.684,989182.2112,1108583.024,249.486,PD22
86610,5.671,989188.6432,1108590.681,249.575,PD22
86620,5.665,989195.0695,1108598.343,249.688,PD22
86630,5.685,989201.4759,1108606.021,249.789,PD22
86637.43,5.682,989206.2477,1108611.713,249.863,PD22
86640,5.681,989207.9011,1108613.685,249.889,PD22
86650,5.643,989214.3529,1108621.325,249.991,PD22
86660,5.656,989220.7657,1108628.998,250.076,PD22
86670,5.656,989227.1888,1108636.663,250.18,PD22
86680,5.724,989233.5588,1108644.372,250.275,PD22
86690,5.677,989240.0182,1108652.006,250.368,PD22
86700,5.758,989246.3783,1108659.723,250.465,PD22
86710,5.761,989252.7987,1108667.39,250.576,PD22
86720,5.736,989259.2409,1108675.038,250.671,PD22
86730,5.686,989265.7018,1108682.671,250.767,PD22
86740,5.665,989272.1406,1108690.322,250.862,PD22
86760,5.712,989284.9499,1108705.682,251.06,PD22
86770,5.683,989291.3945,1108713.328,251.16,PD22
86780,5.644,989297.8468,1108720.968,251.255,PD22
86790,5.662,989304.2564,1108728.644,251.35,PD22
